category,image,family,defect_name,size,target,defect,where,prompt,retries,gen_seconds
can,Normal_can_172_regular.png,deformation,scratch tearing,very small,the can's label,tear exposing silver metal,on the holographic section,"Generate a natural-looking anomaly image of this scene: the can's label has a very small tear exposing silver metal, on the holographic section. The defect is part of the material, not laid on top -- its edges, depth and shadow follow the surface. Small, clearly visible, photorealistic.

HARD RULES YOU MUST FOLLOW

1. Exact Image Preservation: Preserve the original image, geometry, composition, background, texture, lighting, shadows, reflections, perspective, and pixel correspondence everywhere except the requested defect.
2. Photometric & Dimensional Invariance: Preserve color, saturation, exposure, contrast, illumination, material appearance, image dimensions, aspect ratio, crop, framing, and resolution exactly; no resizing, cropping, padding, zooming, or global enhancement.
3. Single Localized Defect: Add exactly ONE small, category-valid, physically realistic anomaly; no reconstruction, recomposition, secondary defects, or any unrequested modification.",0,10.18
can,Normal_can_176_regular.png,scratch or cut,scratch fault,small,the aluminium soda can,scratch tearing through the printed label so the bare silver metal underneath shows,on its visible surface,"Generate a natural-looking anomaly image of this scene: the aluminium soda can has a small scratch tearing through the printed label so the bare silver metal underneath shows, on its visible surface. The defect is part of the material, not laid on top -- its edges, depth and shadow follow the surface. Small, clearly visible, photorealistic.

HARD RULES YOU MUST FOLLOW

1. Exact Image Preservation: Preserve the original image, geometry, composition, background, texture, lighting, shadows, reflections, perspective, and pixel correspondence everywhere except the requested defect.
2. Photometric & Dimensional Invariance: Preserve color, saturation, exposure, contrast, illumination, material appearance, image dimensions, aspect ratio, crop, framing, and resolution exactly; no resizing, cropping, padding, zooming, or global enhancement.
3. Single Localized Defect: Add exactly ONE small, category-valid, physically realistic anomaly; no reconstruction, recomposition, secondary defects, or any unrequested modification.",4,30.53
can,Normal_can_388_regular.png,print or coating defect,scratch fault,very small,the aluminium soda can,scratch tearing through the printed label so the bare silver metal underneath shows,on its visible surface,"Generate a natural-looking anomaly image of this scene: the aluminium soda can has a very small scratch tearing through the printed label so the bare silver metal underneath shows, on its visible surface. The defect is part of the material, not laid on top -- its edges, depth and shadow follow the surface. Small, clearly visible, photorealistic.

HARD RULES YOU MUST FOLLOW

1. Exact Image Preservation: Preserve the original image, geometry, composition, background, texture, lighting, shadows, reflections, perspective, and pixel correspondence everywhere except the requested defect.
2. Photometric & Dimensional Invariance: Preserve color, saturation, exposure, contrast, illumination, material appearance, image dimensions, aspect ratio, crop, framing, and resolution exactly; no resizing, cropping, padding, zooming, or global enhancement.
3. Single Localized Defect: Add exactly ONE small, category-valid, physically realistic anomaly; no reconstruction, recomposition, secondary defects, or any unrequested modification.",4,32.77
fabric,Normal_fabric_028_regular.png,stain or discolouration,thread pull,very small,the fabric near the center,pulled thread,in the middle,"Generate a natural-looking anomaly image of this scene: the fabric near the center has a very small pulled thread, in the middle. The defect is part of the material, not laid on top -- its edges, depth and shadow follow the surface. Small, clearly visible, photorealistic.

HARD RULES YOU MUST FOLLOW

1. Exact Image Preservation: Preserve the original image, geometry, composition, background, texture, lighting, shadows, reflections, perspective, and pixel correspondence everywhere except the requested defect.
2. Photometric & Dimensional Invariance: Preserve color, saturation, exposure, contrast, illumination, material appearance, image dimensions, aspect ratio, crop, framing, and resolution exactly; no resizing, cropping, padding, zooming, or global enhancement.
3. Single Localized Defect: Add exactly ONE small, category-valid, physically realistic anomaly; no reconstruction, recomposition, secondary defects, or any unrequested modification.",0,7.63
fabric,Normal_fabric_128_regular.png,fibre or thread contamination,loose thread,small,the fabric near the center,thread pulled out of the weave,near its upper edge,"Generate a natural-looking anomaly image of this scene: the fabric near the center has a small thread pulled out of the weave, near its upper edge. The defect is part of the material, not laid on top -- its edges, depth and shadow follow the surface. Small, clearly visible, photorealistic.

HARD RULES YOU MUST FOLLOW

1. Exact Image Preservation: Preserve the original image, geometry, composition, background, texture, lighting, shadows, reflections, perspective, and pixel correspondence everywhere except the requested defect.
2. Photometric & Dimensional Invariance: Preserve color, saturation, exposure, contrast, illumination, material appearance, image dimensions, aspect ratio, crop, framing, and resolution exactly; no resizing, cropping, padding, zooming, or global enhancement.
3. Single Localized Defect: Add exactly ONE small, category-valid, physically realistic anomaly; no reconstruction, recomposition, secondary defects, or any unrequested modification.",1,16.41
fabric,Normal_fabric_255_regular.png,scratch or cut,scratch across the weave,tiny,the fabric in the center,cut across the weave,near its middle,"Generate a natural-looking anomaly image of this scene: the fabric in the center has a tiny cut across the weave, near its middle. The defect is part of the material, not laid on top -- its edges, depth and shadow follow the surface. Small, clearly visible, photorealistic.

HARD RULES YOU MUST FOLLOW

1. Exact Image Preservation: Preserve the original image, geometry, composition, background, texture, lighting, shadows, reflections, perspective, and pixel correspondence everywhere except the requested defect.
2. Photometric & Dimensional Invariance: Preserve color, saturation, exposure, contrast, illumination, material appearance, image dimensions, aspect ratio, crop, framing, and resolution exactly; no resizing, cropping, padding, zooming, or global enhancement.
3. Single Localized Defect: Add exactly ONE small, category-valid, physically realistic anomaly; no reconstruction, recomposition, secondary defects, or any unrequested modification.",0,7.9
fruit_jelly,Normal_fruit_jelly_079_regular.png,fibre or thread contamination,glass fault,tiny,the tub of solid set fruit jelly,glass shard pressed into the surface,on its visible surface,"Generate a natural-looking anomaly image of this scene: the tub of solid set fruit jelly has a tiny glass shard pressed into the surface, on its visible surface. The defect is part of the material, not laid on top -- its edges, depth and shadow follow the surface. Small, clearly visible, photorealistic.

HARD RULES YOU MUST FOLLOW

1. Exact Image Preservation: Preserve the original image, geometry, composition, background, texture, lighting, shadows, reflections, perspective, and pixel correspondence everywhere except the requested defect.
2. Photometric & Dimensional Invariance: Preserve color, saturation, exposure, contrast, illumination, material appearance, image dimensions, aspect ratio, crop, framing, and resolution exactly; no resizing, cropping, padding, zooming, or global enhancement.
3. Single Localized Defect: Add exactly ONE small, category-valid, physically realistic anomaly; no reconstruction, recomposition, secondary defects, or any unrequested modification.",4,30.85
fruit_jelly,Normal_fruit_jelly_115_regular.png,mould or rot,dark speck of debris,small,the sealed tub,pressed into the set jelly,on the surface near the red cherry,"Generate a natural-looking anomaly image of this scene: the sealed tub has a small pressed into the set jelly, on the surface near the red cherry. The defect is part of the material, not laid on top -- its edges, depth and shadow follow the surface. Small, clearly visible, photorealistic.

HARD RULES YOU MUST FOLLOW

1. Exact Image Preservation: Preserve the original image, geometry, composition, background, texture, lighting, shadows, reflections, perspective, and pixel correspondence everywhere except the requested defect.
2. Photometric & Dimensional Invariance: Preserve color, saturation, exposure, contrast, illumination, material appearance, image dimensions, aspect ratio, crop, framing, and resolution exactly; no resizing, cropping, padding, zooming, or global enhancement.
3. Single Localized Defect: Add exactly ONE small, category-valid, physically realistic anomaly; no reconstruction, recomposition, secondary defects, or any unrequested modification.",1,16.96
fruit_jelly,Normal_fruit_jelly_150_regular.png,foreign body contamination,glass shard,very small,the sealed tub,pressed into the set jelly,on the surface near the fruit pieces,"Generate a natural-looking anomaly image of this scene: the sealed tub has a very small pressed into the set jelly, on the surface near the fruit pieces. The defect is part of the material, not laid on top -- its edges, depth and shadow follow the surface. Small, clearly visible, photorealistic.

HARD RULES YOU MUST FOLLOW

1. Exact Image Preservation: Preserve the original image, geometry, composition, background, texture, lighting, shadows, reflections, perspective, and pixel correspondence everywhere except the requested defect.
2. Photometric & Dimensional Invariance: Preserve color, saturation, exposure, contrast, illumination, material appearance, image dimensions, aspect ratio, crop, framing, and resolution exactly; no resizing, cropping, padding, zooming, or global enhancement.
3. Single Localized Defect: Add exactly ONE small, category-valid, physically realistic anomaly; no reconstruction, recomposition, secondary defects, or any unrequested modification.",0,8.13
rice,Normal_rice_146_regular.png,stain or discolouration,clear fault,tiny,the white rice grains in bulk,clear plastic pellet among the grains,on its visible surface,"Generate a natural-looking anomaly image of this scene: the white rice grains in bulk has a tiny clear plastic pellet among the grains, on its visible surface. The defect is part of the material, not laid on top -- its edges, depth and shadow follow the surface. Small, clearly visible, photorealistic.

HARD RULES YOU MUST FOLLOW

1. Exact Image Preservation: Preserve the original image, geometry, composition, background, texture, lighting, shadows, reflections, perspective, and pixel correspondence everywhere except the requested defect.
2. Photometric & Dimensional Invariance: Preserve color, saturation, exposure, contrast, illumination, material appearance, image dimensions, aspect ratio, crop, framing, and resolution exactly; no resizing, cropping, padding, zooming, or global enhancement.
3. Single Localized Defect: Add exactly ONE small, category-valid, physically realistic anomaly; no reconstruction, recomposition, secondary defects, or any unrequested modification.",4,32.8
